timestep,reward,baseline_cost,agent_cost,residential_building_battery_P,residential_building_electrical_load_P,residential_building_battery_SOC
2015-08-07 04:15:00,-5.340624999999999,-2.0491016655741547,-7.3897266655741545,-1.25,0.47960249633098995,-0.13541666666666666
2015-08-07 04:30:00,-5.340624999999999,-2.2319656173810256,-7.572590617381025,-1.25,0.52240271910615,-0.125
2015-08-07 04:45:00,-5.340625,-2.4558457826772875,-7.796470782677288,-1.25,0.57480299184957,-0.11458333333333333
2015-08-07 05:00:00,-5.228125,-2.656737828320401,-7.884862828320402,-1.25,0.63520330623321,-0.10416666666666667
2015-08-07 05:15:00,-5.2281249999999995,-2.9394762999741397,-8.16760129997414,-1.25,0.70280365809304,-0.09375
2015-08-07 05:30:00,-5.228125000000001,-3.235598841291975,-8.463723841291976,-1.25,0.77360402660896,-0.08333333333333333
2015-08-07 05:45:00,-5.228125,-3.536740408733831,-8.764865408733831,-1.25,0.84560440137091,-0.07291666666666667
2015-08-07 06:00:00,6.8386148108807125,-6.2883327307718595,0.550282080108853,1.25,0.9180047782148699,-0.08333333333333333
2015-08-07 06:15:00,7.2020917027779525,-6.767835226582374,0.4342564761955788,1.25,0.98800514256677,-0.09375
2015-08-07 06:30:00,7.546875497377609,-7.222677594036904,0.3241979033407052,1.25,1.05440548818057,-0.10416666666666667
2015-08-07 06:45:00,7.872966194679681,-7.652859833135449,0.2201063615442324,1.25,1.11720581505627,-0.11458333333333333
2015-08-07 07:00:00,8.387699719008312,-8.247516928325645,0.14018279068266706,1.25,1.1736061086198,-0.125
2015-08-07 07:15:00,8.643172048741771,-8.593271727979355,0.049900320762416656,1.25,1.22280636470713,-0.13541666666666666
2015-08-07 07:30:00,8.784375,-8.868751161849795,-0.08437616184979471,1.25,1.26200656874419,-0.14583333333333334
2015-08-07 07:45:00,8.784374999999997,-9.057089142149007,-0.27271414214900924,1.25,1.2888067082389199,-0.15625
2015-08-07 08:00:00,8.524999999999999,-8.887870261364732,-0.36287026136473344,1.25,1.30320678319131,-0.16666666666666666
2015-08-07 08:15:00,8.524999999999999,-8.9206064317565,-0.3956064317565016,1.25,1.3080068081754401,-0.17708333333333334
2015-08-07 08:30:00,8.524999999999999,-8.936974516952349,-0.4119745169523494,1.25,1.3104068206675,-0.1875
2015-08-07 08:45:00,8.524999999999999,-8.969710687344117,-0.4447106873441176,1.25,1.3152068456516302,-0.19791666666666666
2015-08-07 09:00:00,7.89375,-8.378785611579135,-0.48503561157913494,1.25,1.32680690602995,-0.20833333333333334
2015-08-07 09:15:00,7.893750000000001,-8.49498221638241,-0.6012322163824088,1.25,1.34520700180244,-0.21875
2015-08-07 09:30:00,7.89375,-8.646543005256314,-0.7527930052563139,1.25,1.36920712672309,-0.22916666666666666
2015-08-07 09:45:00,7.89375,-8.80568183357396,-0.9119318335739603,1.25,1.39440725788978,-0.23958333333333334
2015-08-07 10:00:00,-6.628125,-7.5380732356711695,-14.16619823567117,-1.25,1.42160739946651,-0.22916666666666666
