timestep,reward,baseline_cost,agent_cost,residential_building_battery_P,residential_building_pv_P,residential_building_electrical_load_P,residential_building_battery_SOC
2015-03-16 03:45:00,0.0,-0.030240157400019004,-0.030240157400019004,0.0,0.0,0.4320022485717,0.0
2015-03-16 04:00:00,0.0,-0.030324157837241808,-0.030324157837241808,0.0,0.0,0.43320225481774005,0.0
2015-03-16 04:15:00,0.0,-0.030632159440390203,-0.030632159440390203,0.0,0.0,0.43760227771986,0.0
2015-03-16 04:30:00,0.0,-0.031024161480760704,-0.031024161480760704,0.0,0.0,0.44320230686801,0.0
2015-03-16 04:45:00,-6.938893903907228e-18,-0.0315841643955754,-0.031584164395575404,0.0,0.0,0.45120234850822,0.0
2015-03-16 05:00:00,-6.938893903907228e-18,-0.0322841680390943,-0.032284168039094306,0.0,0.0,0.46120240055849004,0.0
2015-03-16 05:15:00,0.0,-0.034020177075021904,-0.034020177075021904,0.0,0.0,0.48600252964317003,0.0
2015-03-16 05:30:00,0.0,-0.0376601960213206,-0.0376601960213206,0.0,0.0,0.5380028003045799,0.0
2015-03-16 05:45:00,0.0,-0.04404422925021351,-0.04404422925021351,0.0,0.0,0.6292032750030501,0.0
2015-03-16 06:00:00,0.0,-0.0536762793850339,-0.0536762793850339,0.0,0.0,0.7668039912147699,0.0
2015-03-16 06:15:00,0.0,-0.06535234015893031,-0.06535234015893031,0.0,0.0,0.9336048594132901,0.0
2015-03-16 06:30:00,0.0,-0.07736440268171581,-0.07736440268171581,0.0,0.0,1.10520575259594,0.0
2015-03-16 06:45:00,0.0,-0.0880044580632042,-0.0880044580632042,0.0,0.0,1.25720654376006,0.0
2015-03-16 07:00:00,0.0,-0.0889404178133645,-0.0889404178133645,0.0,0.10062973979937176,1.3712071371331502,0.0
2015-03-16 07:15:00,0.0,-0.07881614012489328,-0.07881614012489328,0.0,0.32286268211620306,1.44880754104325,0.0
2015-03-16 07:30:00,0.0,-0.06901839086159604,-0.06901839086159604,0.0,0.5104307764940251,1.49640778880254,0.0
2015-03-16 07:45:00,0.0,-0.05339673864348841,-0.05339673864348841,0.0,0.7571973595913457,1.52000791164118,0.0
2015-03-16 08:00:00,0.0,-0.03800570182441941,-0.03800570182441941,0.0,0.9838693495436543,1.5268079470353602,0.0
2015-03-16 08:15:00,0.0,-0.015033692626002232,-0.015033692626002232,0.0,1.3052408741268624,1.52000791164118,0.0
2015-03-16 08:30:00,0.0,-0.01073744795826637,-0.01073744795826637,0.0,1.3474156980151404,1.50080781170466,0.0
2015-03-16 08:45:00,0.0,-0.013617591573553033,-0.013617591573553033,0.0,1.279070647648591,1.47360767012792,0.0
2015-03-16 09:00:00,0.0,0.013128532832888916,0.013128532832888916,0.0,2.0964341368834556,1.4400074952390098,0.0
2015-03-16 09:15:00,0.0,0.005782940850810272,0.005782940850810272,0.0,1.6939543545625735,1.4048073120220599,0.0
2015-03-16 09:30:00,0.0,0.019718018888534167,0.019718018888534167,0.0,2.3559080753138284,1.37000713088712,0.0
2015-03-16 09:45:00,6.938893903907228e-18,0.037049667837946665,0.03704966783794667,0.0,3.1944903770436937,1.34200698514636,0.0
2015-03-16 10:00:00,0.0,0.04541265589411678,0.04541265589411678,0.0,3.5934396799156785,1.3228068852098398,0.0
2015-03-16 10:15:00,0.0,0.057359485145756256,0.057359485145756256,0.0,4.178381077955312,1.3104068206675,0.0
2015-03-16 10:30:00,-6.938893903907228e-18,0.06218601858405488,0.06218601858405487,0.0,4.414107720722093,1.30480679151935,0.0
2015-03-16 10:45:00,0.0,0.04773215337300758,0.04773215337300758,0.0,3.6914144601697294,1.30480679151935,0.0
2015-03-16 11:00:00,0.0,0.03623506164010614,0.03623506164010614,0.0,3.1209598964267773,1.3092068144214701,0.0
2015-03-16 11:15:00,0.0,0.05281174806171022,0.05281174806171022,0.0,3.9597942695572503,1.3192068664717398,0.0
2015-03-16 11:30:00,0.0,0.05254195844833462,0.05254195844833462,0.0,3.965504888824991,1.33840696640826,0.0
2015-03-16 11:45:00,0.0,0.043194852079089685,0.043194852079089685,0.0,3.5297497348416043,1.37000713088712,0.0
2015-03-16 12:00:00,0.0,0.08921056443136922,0.08921056443136922,0.0,5.8745355814767715,1.4140073599083103,0.0
